#,CVE ID,Versions,Functions,Exploit URLs,Components,remarks,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,
1,CVE-2022-28463,,,,,,120,,Overflow,5/8/2022,5/17/2022,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,ImageMagick 7.1.0-27 is vulnerable to Buffer Overflow.
2,CVE-2022-1114,,RelinquishDCMInfo,,,,416,,DoS,4/29/2022,5/11/2022,5.8,None,Remote,Medium,Not required,Partial,None,Partial,"A heap-use-after-free flaw was found in ImageMagick's RelinquishDCMInfo() function of dcm.c file. This vulnerability is triggered when an attacker passes a specially crafted DICOM image file to ImageMagick for conversion, potentially leading to information disclosure and a denial of service."
3,CVE-2021-39212,nit in 7.1.0-7 or 6.9.12-22,,,,,668,,,9/13/2021,9/24/2021,3.6,None,Local,Low,Not required,Partial,Partial,None,"ImageMagick is free software delivered as a ready-to-run binary distribution or as source code that you may use, copy, modify, and distribute in both open and proprietary applications. In affected versions and in certain cases, Postscript files could be read and written when specifically excluded by a `module` policy in `policy.xml`. ex. <policy domain=""module"" rights=""none"" pattern=""PS"" />. The issue has been resolved in ImageMagick 7.1.0-7 and in 6.9.12-22. Fortunately, in the wild, few users utilize the `module` policy and instead use the `coder` policy that is also our workaround recommendation: <policy domain=""coder"" rights=""none"" pattern=""{PS,EPI,EPS,EPSF,EPSI}"" />."
4,CVE-2021-20313,,TransformSignature,,,,200,,#NAME?,5/11/2021,12/3/2021,5,None,Remote,Low,Not required,Partial,None,None,A flaw was found in ImageMagick in versions before 7.0.11. A potential cipher leak when the calculate signatures in TransformSignature is possible. The highest threat from this vulnerability is to data confidentiality.
5,CVE-2021-20312,,WriteTHUMBNAILImage,,,,190,,Overflow,5/11/2021,12/3/2021,7.8,None,Remote,Low,Not required,None,None,Complete,"A flaw was found in ImageMagick in versions 7.0.11, where an integer overflow in WriteTHUMBNAILImage of coders/thumbnail.c may trigger undefined behavior via a crafted image file that is submitted by an attacker and processed by an application using ImageMagick. The highest threat from this vulnerability is to system availability."
6,CVE-2021-20311,,sRGBTransformImage,,,,369,,,5/11/2021,5/17/2021,7.8,None,Remote,Low,Not required,None,None,Complete,"A flaw was found in ImageMagick in versions before 7.0.11, where a division by zero in sRGBTransformImage() in the MagickCore/colorspace.c may trigger undefined behavior via a crafted image file that is submitted by an attacker processed by an application using ImageMagick. The highest threat from this vulnerability is to system availability."
7,CVE-2021-20310,,ConvertXYZToJzazbz,,,,369,,,5/11/2021,5/17/2021,7.8,None,Remote,Low,Not required,None,None,Complete,"A flaw was found in ImageMagick in versions before 7.0.11, where a division by zero ConvertXYZToJzazbz() of MagickCore/colorspace.c may trigger undefined behavior via a crafted image file that is submitted by an attacker and processed by an application using ImageMagick. The highest threat from this vulnerability is to system availability."
8,CVE-2021-20309,,WaveImage,,,,369,,,5/11/2021,12/3/2021,7.8,None,Remote,Low,Not required,None,None,Complete,"A flaw was found in ImageMagick in versions before 7.0.11 and before 6.9.12, where a division by zero in WaveImage() of MagickCore/visual-effects.c may trigger undefined behavior via a crafted image file submitted to an application using ImageMagick. The highest threat from this vulnerability is to system availability."
9,CVE-2021-20246,,,,,,369,,,3/9/2021,3/25/2021,7.1,None,Remote,Medium,Not required,None,None,Complete,A flaw was found in ImageMagick in MagickCore/resample.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. The highest threat from this vulnerability is to system availability.
10,CVE-2021-20245,,,,,,369,,,3/9/2021,1/1/2022,7.1,None,Remote,Medium,Not required,None,None,Complete,A flaw was found in ImageMagick in coders/webp.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. The highest threat from this vulnerability is to system availability.
11,CVE-2021-20244,,,,,,369,,,3/9/2021,3/25/2021,7.1,None,Remote,Medium,Not required,None,None,Complete,A flaw was found in ImageMagick in MagickCore/visual-effects.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. The highest threat from this vulnerability is to system availability.
12,CVE-2021-20243,,,,,,369,,,3/9/2021,1/1/2022,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in MagickCore/resize.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. The highest threat from this vulnerability is to system availability.
13,CVE-2021-20241,,,,,,369,,,3/9/2021,3/25/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in coders/jp2.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. The highest threat from this vulnerability is to system availability.
14,CVE-2021-20176,6.9.11-57 and 7.0.10-57 ,,,,,369,,,2/6/2021,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,A divide-by-zero flaw was found in ImageMagick 6.9.11-57 and 7.0.10-57 in gem.c. This flaw allows an attacker who submits a crafted file that is processed by ImageMagick to trigger undefined behavior through a division by zero. The highest threat from this vulnerability is to system availability.
15,CVE-2021-4219,,,,,,20,,DoS,3/23/2022,3/30/2022,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick. The vulnerability occurs due to improper use of open functions and leads to a denial of service. This flaw allows an attacker to crash the system.
16,CVE-2021-3962,,,,,,416,,,11/19/2021,11/28/2021,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"A flaw was found in ImageMagick where it did not properly sanitize certain input before using it to invoke convert processes. This flaw allows an attacker to create a specially crafted image that leads to a use-after-free vulnerability when processed by ImageMagick. The highest threat from this vulnerability is to confidentiality, integrity, as well as system availability."
17,CVE-2021-3610,prior to 7.0.11-14,ReadTIFFImage,,,,125,,Overflow,2/24/2022,3/7/2022,5,None,Remote,Low,Not required,None,None,Partial,"A heap-based buffer overflow vulnerability was found in ImageMagick in versions prior to 7.0.11-14 in ReadTIFFImage() in coders/tiff.c. This issue is due to an incorrect setting of the pixel array size, which can lead to a crash and segmentation fault."
18,CVE-2021-3596,prior to 7.0.10-31,ReadSVGImage,,,,476,,,2/24/2022,5/14/2022,4.3,None,Remote,Medium,Not required,None,None,Partial,"A NULL pointer dereference flaw was found in ImageMagick in versions prior to 7.0.10-31 in ReadSVGImage() in coders/svg.c. This issue is due to not checking the return value from libxml2's xmlCreatePushParserCtxt() and uses the value directly, which leads to a crash and segmentation fault."
19,CVE-2020-29599,before 6.9.11-40 and 7.x before 7.0.10-40,,,,,91,,,12/7/2020,3/29/2021,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"ImageMagick before 6.9.11-40 and 7.x before 7.0.10-40 mishandles the -authenticate option, which allows setting a password for password-protected PDF files. The user-controlled password was not properly escaped/sanitized and it was therefore possible to inject additional shell commands via coders/pdf.c."
