#,CVE ID,Versions,Functions,Exploit URLs,Components,remarks,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,
1,CVE-2017-12839,through 1.25.5,getbits ,,,,125,,,5/9/2019,5/10/2019,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A heap-based buffer over-read in the getbits function in src/libmpg123/getbits.h in mpg123 through 1.25.5 allows remote attackers to cause a possible denial-of-service (out-of-bounds read) or possibly have unspecified other impact via a crafted mp3 file.
2,CVE-2017-12797,before 1.25.5,INT123_parse_new_id3 ,,,,190,,DoS Overflow,8/29/2017,9/6/2017,4.3,None,Remote,Medium,Not required,None,None,Partial,Integer overflow in the INT123_parse_new_id3 function in the ID3 parser in mpg123 before 1.25.5 on 32-bit platforms allows remote attackers to cause a denial of service via a crafted file
3,CVE-2017-11126,through 1.25.1,III_i_stereo ,,,,125,,DoS,7/10/2017,10/3/2019,4.3,None,Remote,Medium,Not required,None,None,Partial,"The III_i_stereo function in libmpg123/layer3.c in mpg123 through 1.25.1 allows remote attackers to cause a denial of service (buffer over-read and application crash) via a crafted audio file that is mishandled in the code for the ""block_type != 2"" case"
4,CVE-2017-10683,1.25.0,convert_latin1 ,,,,125,,DoS,6/29/2017,3/3/2020,5,None,Remote,Low,Not required,None,None,Partial,In mpg123 1.25.0
5,CVE-2017-9545,1.24.0,next_text ,,,,125,,DoS,7/27/2017,10/3/2019,4.3,None,Remote,Medium,Not required,None,None,Partial,The next_text function in src/libmpg123/id3.c in mpg123 1.24.0 allows remote attackers to cause a denial of service (buffer over-read) via a crafted mp3 file.
6,CVE-2014-9497,,,,,,119,,Overflow,8/29/2017,9/3/2017,5,None,Remote,Low,Not required,None,None,Partial,Buffer overflow in mpg123 before 1.18.0.
7,CVE-2009-1301,before 1.7.2,store_id3_text ,,,,189,,DoS Exec Code,4/16/2009,4/29/2009,10,None,Remote,Low,Not required,Complete,Complete,Complete,Integer signedness error in the store_id3_text function in the ID3v2 code in mpg123 before 1.7.2 allows remote attackers to cause a denial of service (out-of-bounds memory access) and possibly execute arbitrary code via an ID3 tag with a negative encoding value. NOTE: some of these details are obtained from third party information.
8,CVE-2007-0578,before 0.64,http_open ,,,,,,DoS,1/30/2007,3/8/2011,4.3,None,Remote,Medium,Not required,None,None,Partial,The http_open function in httpget.c in mpg123 before 0.64 allows remote attackers to cause a denial of service (infinite loop) by closing the HTTP connection early.
9,CVE-2006-3355,before 0.59s-r11 ,http_open ,,,,,,Exec Code Overflow,7/6/2006,9/5/2008,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Heap-based buffer overflow in httpdget.c in mpg123 before 0.59s-rll allows remote attackers to execute arbitrary code via a long URL
10,CVE-2006-1655,,,,,,,,Overflow,4/6/2006,4/2/2010,6.5,None,Remote,Low,???,Partial,Partial,Partial,Multiple buffer overflows in mpg123 0.59r allow user-assisted attackers to trigger a segmentation fault and possibly have other impacts via a certain MP3 file
11,CVE-2004-1284,0.59r,find_next_file ,,,,,,Exec Code Overflow,1/10/2005,7/11/2017,10,None,Remote,Low,Not required,Complete,Complete,Complete,Buffer overflow in the find_next_file function in playlist.c for mpg123 0.59r allows remote attackers to execute arbitrary code via a crafted MP3 playlist.
12,CVE-2004-0991,,,,,,,,Exec Code Overflow,1/11/2005,9/10/2008,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Buffer overflow in mpg123 before 0.59s-r9 allows remote attackers to execute arbitrary code via frame headers in MP2 or MP3 files.
13,CVE-2004-0982,"pre0.59s , pre0.59r",getauthfromURL ,,,,,,Exec Code Overflow,2/9/2005,7/11/2017,10,None,Remote,Low,Not required,Complete,Complete,Complete,Buffer overflow in the getauthfromURL function in httpget.c in mpg123 pre0.59s and mpg123 0.59r could allow remote attackers or local users to execute arbitrary code via an mp3 file that contains a long string before the @ (at sign) in a URL.
14,CVE-2004-0805,,,,,,,,Exec Code Overflow,12/23/2004,7/11/2017,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Buffer overflow in layer2.c in mpg123 0.59r and possibly mpg123 0.59s allows remote attackers to execute arbitrary code via a certain (1) mp3 or (2) mp2 file.
15,CVE-2003-0865,,,,,,,,Exec Code Overflow,11/17/2003,10/18/2016,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Heap-based buffer overflow in readstring of httpget.c for mpg123 0.59r and 0.59s allows remote attackers to execute arbitrary code via a long request.
16,CVE-2003-0577,,,,,,,,DoS Exec Code,8/18/2003,9/10/2008,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,mpg123 0.59r allows remote attackers to cause a denial of service and possibly execute arbitrary code via an MP3 file with a zero bitrate
