funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
_bdf_add_comment,0,bdf.c,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_add_property,1,bdf.c,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_atol.constprop.0,0,bdf.c,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_atos.constprop.0,0,bdf.c,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_atoul.constprop.0,0,bdf.c,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_list_ensure,0,bdf.c,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_list_join.constprop.0,0,bdf.c,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_list_shift.constprop.0,0,bdf.c,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_list_split,0,bdf.c,0,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_parse_glyphs,1,bdf.c,0,245,2,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_parse_properties,1,bdf.c,0,116,5,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_parse_start,1,bdf.c,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_bdf_set_default_spacing.isra.0,0,bdf.c,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_ft_face_scale_advances.isra.0.part.0,0,ftbase.c,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_iup_worker_interpolate.part.0,0,truetype.c,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_tt_check_patents_in_range.part.0,0,ftpatent.c,0,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
_tt_check_patents_in_table,0,ftpatent.c,2,22,0,10,17,46,0,0,0,4,2,10,2,0,6,0,freetype
adler32,0,ftgzip.c,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_autofitter_done,0,autofit.c,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_autofitter_init,0,autofit.c,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_autofitter_load_glyph,0,autofit.c,0,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_axis_hints_new_edge,0,autofit.c,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_cjk_compute_stem_width.isra.0,0,autofit.c,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_cjk_hints_apply,0,autofit.c,0,132,28,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_cjk_hints_detect_features,0,autofit.c,0,155,761,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_cjk_hints_init,0,autofit.c,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_cjk_metrics_init,0,autofit.c,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_cjk_metrics_scale,0,autofit.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_dummy_hints_apply,0,autofit.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_dummy_hints_init,0,autofit.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_face_globals_free,0,autofit.c,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_align_strong_points,0,autofit.c,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_align_weak_points,0,autofit.c,0,64,35,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_done,0,autofit.c,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_dump_edges,0,autofit.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_dump_points,0,autofit.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_dump_segments,0,autofit.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_reload.constprop.0,0,autofit.c,0,120,91,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_glyph_hints_save.isra.0,0,autofit.c,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_hint_normal_stem,0,autofit.c,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_indic_hints_apply,0,autofit.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_indic_hints_init,0,autofit.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_indic_metrics_init,0,autofit.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_indic_metrics_scale,0,autofit.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_align_linked_edge,0,autofit.c,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_compute_stem_width.isra.0,0,autofit.c,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_hints_apply,0,autofit.c,0,207,425,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_hints_compute_segments,0,autofit.c,0,138,744,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_hints_init,0,autofit.c,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_hints_link_segments,0,autofit.c,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_metrics_init,0,autofit.c,0,77,223,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_metrics_scale,0,autofit.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_metrics_scale_dim,0,autofit.c,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_latin_snap_width,0,autofit.c,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
af_loader_load_g,0,autofit.c,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_compare_kern_pairs,0,psaux.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_parser_done,0,psaux.c,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_parser_init,0,psaux.c,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_parser_next_key.constprop.0,0,psaux.c,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_parser_parse,0,psaux.c,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_parser_read_vals,0,psaux.c,0,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_stream_read_one,0,psaux.c,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_stream_read_string,0,psaux.c,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_stream_skip_spaces.part.0,0,psaux.c,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
afm_tokenize,0,psaux.c,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
BBox_Conic_Check,0,ftbbox.c,5,24,0,12,25,42,0,0,0,1,2,2,6,9,11,2,freetype
BBox_Conic_To,0,ftbbox.c,3,12,0,10,10,33,0,0,0,4,0,0,2,4,4,0,freetype
BBox_Cubic_Check,0,ftbbox.c,6,150,2,16,76,137,0,0,0,11,2,2,19,17,28,4,freetype
BBox_Cubic_To,0,ftbbox.c,4,21,0,10,11,47,0,0,0,6,0,0,2,8,8,0,freetype
BBox_Move_To,0,ftbbox.c,2,1,0,5,5,5,0,0,0,0,0,0,0,0,0,0,freetype
bdf_cmap_char_index,0,bdf.c,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_cmap_char_next,0,bdf.c,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_cmap_done,0,bdf.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_cmap_init,0,bdf.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_driver_requester,0,bdf.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
BDF_Face_Done,0,bdf.c,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
BDF_Face_Init,0,bdf.c,0,328,16,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_free_font.part.0,1,bdf.c,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_get_bdf_property,0,bdf.c,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_get_charset_id,0,bdf.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
bdf_get_font_property.part.0,0,bdf.c,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
BDF_Glyph_Load,0,bdf.c,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
BDF_Size_Request,0,bdf.c,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
BDF_Size_Select,0,bdf.c,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
Bezier_Down,0,raster.c,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
Bezier_Up,0,raster.c,0,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
by_encoding,0,bdf.c,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_builder_add_point,1,cff.c,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_builder_add_point1.part.0,0,cff.c,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_builder_close_contour.isra.0,0,cff.c,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_builder_start_point.part.0,0,cff.c,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_charset_compute_cids,0,cff.c,0,89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_encoding_char_index,0,cff.c,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_encoding_char_next,0,cff.c,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_encoding_done,0,cff.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_encoding_init,0,cff.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_unicode_char_index,0,cff.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_unicode_char_next,0,cff.c,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_unicode_done,0,cff.c,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_cmap_unicode_init,0,cff.c,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_decoder_parse_charstrings,1,cff.c,0,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_driver_done,0,cff.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_driver_init,0,cff.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
cff_face_done,0,cff.c,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,freetype
