funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
convert_gamma_value,0,pngrtran.c,2,49,0,8,9,59,0,0,0,2,3,2,2,9,15,0,libpng
png_64bit_product,0,png.c,4,1,0,7,19,29,0,0,0,0,2,6,0,0,0,2,libpng
png_access_version_number,0,png.c,0,1,0,4,2,3,0,0,0,0,1,0,0,0,0,0,libpng
png_ascii_from_fixed,0,png.c,4,68,5,16,40,129,0,0,0,1,2,4,10,11,27,7,libpng
png_ascii_from_fp,0,png.c,5,97,1472,28,140,278,0,0,0,6,2,4,34,18,62,17,libpng
png_benign_error,0,pngerror.c,2,0,0,8,6,1,0,0,0,2,4,2,1,0,0,0,libpng
png_build_16bit_table,0,png.c,0,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,libpng
png_build_8bit_table,0,png.c,3,13,1,10,15,31,0,0,0,3,3,8,3,2,3,1,libpng
png_build_gamma_table,0,png.c,2,145,6,16,60,211,0,0,0,17,1,6,17,15,31,0,libpng
png_build_grayscale_palette,0,pngrtran.c,2,10,1,8,39,24,0,0,0,1,0,0,3,4,8,0,libpng
png_calculate_crc,0,png.c,3,18,0,11,24,40,0,0,0,2,8,6,6,1,6,0,libpng
png_calloc,0,pngmem.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libpng
png_check_cHRM_fixed,0,png.c,9,50,0,12,42,100,0,0,0,9,2,4,7,6,22,0,libpng
png_check_chunk_name,0,pngrutil.c,2,16,1,10,13,48,0,0,0,2,2,4,2,2,4,0,libpng
png_check_fp_number,0,png.c,4,6,0,15,112,24,0,0,0,10,3,4,10,2,3,2,libpng
png_check_fp_string,0,png.c,2,12,0,9,8,31,0,0,0,1,3,2,1,2,5,0,libpng
png_check_IHDR,0,png.c,8,100,0,13,85,112,0,0,0,17,2,2,20,19,36,0,libpng
png_check_keyword,1,pngwutil.c,3,68,7,13,79,139,0,0,0,15,7,4,14,11,32,10,libpng
png_chunk_benign_error,0,pngerror.c,2,0,0,8,6,1,0,0,0,2,2,6,1,0,0,0,libpng
png_chunk_benign_error,0,pngerror.c,2,0,0,8,6,1,0,0,0,2,2,14,1,0,0,0,libpng
png_chunk_error,0,pngerror.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libpng
png_chunk_unknown_handling,0,png.c,2,8,0,6,6,21,0,0,0,2,5,2,0,0,3,0,libpng
png_combine_row,1,pngrutil.c,3,332,421,22,1001,564,0,0,0,19,11,2,33,65,125,9,libpng
png_convert_from_struct_tm,0,pngwrite.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libpng
