funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
__assert_fail,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
__ctype_b_loc,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
__cxa_finalize,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
__do_global_dtors_aux,0,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
__fstat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
__fxstat,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
__stack_chk_fail,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
_fini,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
_init,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
_logLuvNop,0,tif_luv.c,3,1,0,4,7,8,0,4,1,0,0,0,0,0,0,0,libtiff
_notConfigured,0,tif_codec.c,1,3,0,10,5,22,0,38,0,2,0,0,0,0,0,0,libtiff
_TIFFCheckMalloc,0,tif_aux.c,4,0,0,8,12,1,2,37,1,2,25,0,2,0,0,0,libtiff
_tiffCloseProc,0,tif_unix.c,1,2,0,7,3,10,0,0,1,1,0,0,0,0,0,0,libtiff
_TIFFCreateAnonFieldInfo,0,tif_dirinfo.c,3,0,0,9,24,1,0,37,0,5,3,0,2,0,0,0,libtiff
_TIFFDataSize,0,tif_dirinfo.c,1,0,0,5,23,1,0,0,0,0,5,0,1,0,0,0,libtiff
_TIFFDefaultStripSize,0,tif_strip.c,2,22,0,10,10,25,0,36,0,1,0,0,3,4,6,0,libtiff
_TIFFDefaultTileSize,0,tif_tile.c,3,13,0,9,13,20,0,36,2,2,0,0,4,0,8,4,libtiff
_tiffDummyMapProc,0,tif_open.c,3,1,0,4,8,9,0,0,3,0,0,0,0,0,0,0,libtiff
