funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
__assert_fail,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__ctype_b_loc,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__cxa_finalize,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__do_global_dtors_aux,0,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__errno_location,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__fprintf_chk,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__fstat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__fxstat,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__isoc99_sscanf,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__libc_csu_fini,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__libc_csu_init,0,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__memcpy_chk,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__printf_chk,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__snprintf_chk,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__stack_chk_fail,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
__vfprintf_chk,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
_fini,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
_init,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
_IO_putc,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
_start,0,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
aarp_print,0,print-atalk.c,3,24,0,17,55,75,0,0,0,17,1,10,2,6,9,0,tcpdump
abort_on_misalignment,0,machdep.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
acl_print,0,print-rx.c,4,108,0,18,52,130,7,16,2,18,2,2,16,9,40,0,tcpdump
add_addr_print,0,print-mptcp.c,4,38,0,17,25,63,1,15,1,10,0,0,4,10,12,0,tcpdump
ah_print,1,print-ah.c,2,15,0,12,25,45,0,0,0,9,2,0,2,2,4,0,tcpdump
