funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
xferlog_close,0,xferlog.c,0,4,0,7,4,12,0,0,0,1,1,6,1,2,2,0,proftpd
xferlog_open,0,xferlog.c,1,19,0,13,18,41,0,0,1,5,2,4,4,4,10,0,proftpd
xferlog_write,0,xferlog.c,10,0,0,13,94,3,6,2,4,7,4,8,5,0,0,0,proftpd
log_wtmp,0,wtmp.c,4,46,0,6,73,94,1,0,3,0,2,11,0,6,22,0,proftpd
snprintf,0,vsnprintf.c,3,0,0,7,10,1,0,0,0,3,167,9,0,0,0,0,proftpd
vsnprintf,0,vsnprintf.c,4,0,0,19,348,1,0,0,0,16,27,7,48,0,0,22,proftpd
pr_version_get_module_api_number,0,version.c,0,1,0,3,2,6,0,0,0,0,0,0,0,0,0,0,proftpd
pr_version_get_number,0,version.c,0,1,0,3,2,6,0,0,0,0,0,0,0,0,0,0,proftpd
pr_version_get_str,0,version.c,0,1,0,3,2,6,0,0,0,0,0,0,0,0,0,0,proftpd
pr_var_delete,0,var.c,1,15,0,8,11,26,0,0,1,1,8,2,3,2,12,0,proftpd
pr_var_exists,0,var.c,1,11,0,9,11,25,0,0,1,1,0,0,3,2,8,0,proftpd
pr_var_get,0,var.c,1,24,0,9,27,48,0,3,1,3,1,8,4,8,18,0,proftpd
pr_var_next,0,var.c,1,16,0,7,17,36,1,4,1,2,0,0,3,6,12,1,proftpd
pr_var_rewind,0,var.c,0,4,0,8,4,11,0,0,0,1,0,0,1,0,2,0,proftpd
pr_var_set,0,var.c,7,69,0,12,67,90,1,3,4,10,7,4,11,32,56,0,proftpd
var_free,0,var.c,0,9,0,10,11,20,0,0,0,3,0,0,2,0,4,0,proftpd
var_init,0,var.c,0,9,0,9,9,22,0,0,0,3,1,4,2,0,4,0,proftpd
pr_trace_get_level,0,trace.c,1,2,0,4,4,10,0,0,1,0,14,4,0,0,0,0,proftpd
pr_trace_get_max_level,0,trace.c,1,6,0,4,4,17,0,0,1,0,1,6,0,2,4,0,proftpd
pr_trace_get_min_level,0,trace.c,1,6,0,4,4,17,0,0,1,0,0,0,0,2,4,0,proftpd
pr_trace_get_table,0,trace.c,0,6,0,4,3,13,0,0,0,0,0,0,0,0,4,0,proftpd
pr_trace_msg,0,trace.c,3,54,0,4,6,61,1,2,2,0,1180,3,0,6,18,0,proftpd
pr_trace_parse_levels,0,trace.c,3,66,0,4,6,88,4,2,3,0,3,2,0,18,60,0,proftpd
pr_trace_set_file,0,trace.c,1,35,0,4,4,61,2,0,1,0,2,2,0,10,22,0,proftpd
pr_trace_set_levels,0,trace.c,3,59,0,4,6,111,0,0,1,0,5,2,0,10,44,0,proftpd
pr_trace_set_options,0,trace.c,1,1,0,4,4,9,0,0,0,0,4,2,0,0,0,0,proftpd
pr_trace_use_stderr,0,trace.c,1,12,0,10,15,25,0,0,0,3,0,0,2,4,8,0,proftpd
pr_trace_vmsg,0,trace.c,4,52,0,4,7,91,4,2,2,0,3,5,0,28,50,0,proftpd
trace_get_levels,0,trace.c,1,17,0,7,17,32,1,1,1,1,3,7,3,2,7,0,proftpd
trace_restart_ev,0,trace.c,2,7,0,8,13,25,0,0,2,3,0,0,1,0,1,0,proftpd
trace_write,0,trace.c,4,60,0,14,61,150,4,1,2,17,1,7,10,5,21,0,proftpd
handle_alarm,0,timers.c,0,17,1,11,19,51,1,0,0,4,6,5,3,0,12,0,proftpd
pr_alarms_block,0,timers.c,0,1,0,4,2,8,0,0,0,0,15,7,0,0,0,0,proftpd
pr_alarms_unblock,0,timers.c,0,6,0,7,7,18,0,0,0,1,15,7,1,0,4,0,proftpd
pr_timer_add,0,timers.c,5,64,1,12,103,131,0,15,2,13,13,6,12,20,42,0,proftpd
pr_timer_remove,0,timers.c,2,36,6,14,37,81,1,20,0,6,25,4,8,18,36,0,proftpd
pr_timer_reset,0,timers.c,2,34,2,11,34,73,0,15,0,7,17,4,7,10,28,0,proftpd
pr_timer_sleep,0,timers.c,1,21,0,9,18,44,1,0,0,4,1,10,3,2,14,0,proftpd
pr_timer_usleep,0,timers.c,1,12,0,8,13,41,0,0,0,3,1,5,1,2,6,0,proftpd
process_timers,0,timers.c,1,71,1,20,113,135,1,10,0,13,1,7,15,7,28,0,proftpd
set_sig_alarm,0,timers.c,0,17,0,11,12,41,0,1,0,7,1,8,2,0,3,0,proftpd
sig_alarm,0,timers.c,1,21,0,11,20,59,0,1,0,9,1,0,3,0,4,0,proftpd
sleep_cb,0,timers.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,proftpd
timer_cmp,0,timers.c,2,8,0,6,10,19,0,10,0,0,0,0,2,2,4,0,proftpd
timers_init,0,timers.c,0,6,0,8,15,25,0,0,0,3,1,8,1,0,2,0,proftpd
pr_throttle_have_rate,0,throttle.c,0,1,0,3,2,6,0,0,0,0,2,6,0,0,0,0,proftpd
pr_throttle_init,0,throttle.c,1,76,0,23,102,141,5,19,0,11,3,2,13,28,70,0,proftpd
pr_throttle_pause,0,throttle.c,2,56,0,14,53,137,3,0,0,14,4,2,10,12,36,0,proftpd
xfer_rate_sigmask,0,throttle.c,1,32,0,12,29,40,0,0,0,12,3,4,5,3,5,0,proftpd
xfer_rate_since,0,throttle.c,1,5,0,7,5,34,0,0,0,1,1,4,0,0,1,0,proftpd
entry_insert,0,table.c,2,9,1,6,13,23,0,12,0,0,1,0,2,1,5,0,proftpd
entry_remove,0,table.c,2,8,0,8,13,22,0,8,0,0,3,0,2,0,3,1,proftpd
key_cmp,0,table.c,4,19,0,11,20,42,2,2,2,1,0,0,6,6,11,0,proftpd
key_hash,0,table.c,2,11,1,10,15,40,2,0,1,2,0,0,3,1,4,0,proftpd
pr_table_add,0,table.c,4,15,0,11,13,37,0,11,2,3,47,9,2,8,10,0,proftpd
pr_table_add_dup,0,table.c,4,22,0,11,20,44,1,12,2,4,7,7,3,12,16,0,proftpd
pr_table_alloc,0,table.c,2,2,0,6,4,14,0,0,0,1,24,12,0,0,0,0,proftpd
pr_table_count,0,table.c,1,6,0,6,7,15,0,11,0,0,11,10,1,2,4,0,proftpd
pr_table_ctl,0,table.c,3,13,0,12,215,31,0,11,1,1,11,18,8,4,12,0,proftpd
pr_table_do,0,table.c,8,26,1,13,35,63,0,11,2,2,2,20,6,10,26,0,proftpd
pr_table_dump,0,table.c,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,proftpd
pr_table_empty,0,table.c,1,19,1,11,27,46,0,11,0,3,14,14,5,6,18,0,proftpd
pr_table_exists,0,table.c,2,9,0,10,8,24,0,11,1,2,10,10,1,4,6,0,proftpd
