funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
utmp_fill,0,utmp.c,4,20,0,12,28,55,1,0,2,8,2,12,4,4,4,0,sudo
utmp_login,0,utmp.c,4,27,0,15,45,70,2,0,3,11,1,10,10,1,5,0,sudo
utmp_logout,0,utmp.c,2,29,0,15,32,78,2,0,1,10,2,2,6,1,8,0,sudo
utmp_setid,0,utmp.c,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sudo
utmp_settime,0,utmp.c,1,10,0,9,14,37,1,0,0,1,1,4,1,0,2,0,sudo
get_process_ttyname,1,ttyname.c,2,61,2,11,24,144,8,2,1,8,1,4,4,13,20,0,sudo
getln,0,tgetpass.c,4,63,0,18,55,101,5,1,1,8,2,2,14,16,21,2,sudo
sudo_askpass,0,tgetpass.c,2,80,0,13,57,161,4,2,2,34,1,2,10,9,13,0,sudo
suspend,0,tgetpass.c,2,27,0,12,24,63,2,3,0,8,5,2,5,6,8,0,sudo
tgetpass,0,tgetpass.c,4,143,2,14,123,248,8,13,1,56,1,0,26,17,41,0,sudo
tgetpass_handler,0,tgetpass.c,1,4,0,6,4,13,0,0,0,0,0,0,1,1,1,0,sudo
tty_present,0,tgetpass.c,0,3,0,8,8,24,1,0,0,1,1,2,0,0,0,0,sudo
sigttou,0,tcsetpgrp_nobg.c,1,1,0,4,3,7,0,0,0,0,0,0,0,0,0,0,sudo
tcsetpgrp_nobg,0,tcsetpgrp_nobg.c,2,16,0,9,16,48,1,2,0,5,2,4,1,2,4,0,sudo
dir_is_writable,0,sudo_edit.c,3,30,0,11,29,80,2,19,0,12,2,6,5,2,8,0,sudo
set_tmpdir,0,sudo_edit.c,1,38,1,13,46,111,6,14,0,10,1,4,6,8,11,0,sudo
sudo_edit,0,sudo_edit.c,1,107,4,9,9,236,11,31,0,2,13,2,0,14,28,0,sudo
sudo_edit_copy_tfiles,1,sudo_edit.c,4,125,0,17,126,245,9,15,0,45,1,4,13,19,25,0,sudo
sudo_edit_create_tfiles,0,sudo_edit.c,4,145,0,19,108,280,9,15,1,47,1,4,23,26,36,2,sudo
sudo_edit_mktemp,0,sudo_edit.c,2,30,0,12,25,102,5,2,2,11,2,6,4,4,7,0,sudo
sudo_edit_open,1,sudo_edit.c,4,24,0,12,37,65,3,13,1,16,6,6,8,2,8,0,sudo
sudo_edit_open_nonwritable,1,sudo_edit.c,4,53,1,11,54,119,5,13,1,16,2,8,10,10,19,2,sudo
sudo_edit_openat_nofollow,0,sudo_edit.c,4,4,0,12,40,35,1,0,1,15,1,10,8,0,0,0,sudo
switch_user,0,sudo_edit.c,4,36,0,10,29,88,2,0,1,9,6,6,8,4,9,0,sudo
command_info_to_details,0,sudo.c,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sudo
disable_coredump,0,sudo.c,1,20,0,10,26,54,1,0,0,6,5,2,2,2,3,0,sudo
fill_group_list,0,sudo.c,2,25,0,13,28,94,2,6,0,10,1,6,3,1,5,0,sudo
fix_fds,0,sudo.c,0,46,0,12,25,91,3,0,0,13,1,2,6,8,12,0,sudo
format_plugin_settings,0,sudo.c,2,54,3,14,72,136,4,16,0,13,0,4,11,4,18,0,sudo
free_plugin_container,0,sudo.c,2,15,0,11,20,45,1,7,0,5,3,4,3,1,4,0,sudo
gc_add,0,sudo.c,2,1,0,11,32,8,0,0,1,11,4,4,3,0,0,0,sudo
gc_init,0,sudo.c,0,1,0,6,2,5,0,0,0,1,1,2,0,0,0,0,sudo
get_user_groups,0,sudo.c,1,67,0,16,52,178,8,8,0,20,1,4,12,10,18,0,sudo
get_user_info,0,sudo.c,1,155,0,13,108,243,7,13,0,57,1,2,29,18,35,0,sudo
iolog_close,0,sudo.c,3,8,0,10,16,34,1,7,0,3,2,4,1,0,1,0,sudo
iolog_open,0,sudo.c,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sudo
iolog_show_version,0,sudo.c,2,11,0,9,16,44,2,7,0,5,1,2,1,0,2,0,sudo
iolog_unlink,0,sudo.c,1,15,0,12,18,47,1,7,0,6,1,2,2,1,4,0,sudo
main,1,sudo.c,3,191,1,14,170,342,10,22,2,88,4,0,23,31,47,0,sudo
policy_check,0,sudo.c,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sudo
policy_close,0,sudo.c,3,16,0,13,20,60,1,7,0,5,2,4,2,1,2,0,sudo
policy_init_session,0,sudo.c,1,21,0,13,41,57,2,13,0,7,2,8,4,1,5,0,sudo
policy_invalidate,0,sudo.c,2,12,0,11,16,51,1,7,0,5,1,2,1,0,1,0,sudo
policy_list,0,sudo.c,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sudo
policy_open,0,sudo.c,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sudo
policy_show_version,0,sudo.c,2,11,0,9,16,44,2,7,0,5,1,2,1,0,2,0,sudo
policy_validate,0,sudo.c,1,15,0,11,17,61,2,7,0,7,1,2,1,0,2,0,sudo
run_command,0,sudo.c,1,35,0,11,55,104,2,20,0,14,4,2,2,4,7,0,sudo
set_user_groups,0,sudo.c,1,36,0,15,29,81,2,13,0,14,2,10,5,0,7,0,sudo
sudo_check_suid,0,sudo.c,1,53,0,18,56,131,3,0,1,14,1,2,8,5,14,0,sudo
init_signals,0,signal.c,0,34,5,17,39,97,1,2,0,9,1,2,6,6,11,0,sudo
restore_signals,0,signal.c,0,22,1,16,19,76,1,1,0,4,2,8,5,2,8,0,sudo
save_signals,0,signal.c,0,14,0,12,15,51,1,1,0,3,1,2,2,1,3,0,sudo
signal_pending,0,signal.c,1,1,0,5,3,13,0,0,0,0,1,8,0,1,0,0,sudo
sudo_handler,0,signal.c,1,1,0,5,3,11,0,0,0,0,0,0,0,0,0,0,sudo
sudo_sigaction,0,signal.c,3,16,1,12,25,59,2,3,0,3,9,6,3,3,6,0,sudo
add_preserved_fd,0,preserve_fds.c,2,32,1,10,44,106,1,6,0,14,3,2,5,6,8,0,sudo
closefrom_except,0,preserve_fds.c,2,90,8,14,103,206,4,7,0,29,1,8,14,16,26,0,sudo
parse_preserved_fds,0,preserve_fds.c,2,30,0,12,27,75,4,4,1,4,0,0,3,6,9,0,sudo
env_insert,0,parse_args.c,2,18,0,12,22,75,1,1,1,4,2,4,3,2,3,0,sudo
env_set,0,parse_args.c,3,13,0,11,17,54,2,2,2,5,1,2,1,1,1,0,sudo
help,0,parse_args.c,0,69,0,11,50,101,3,4,0,73,1,4,1,0,1,0,sudo
parse_args,1,parse_args.c,6,221,1,19,421,363,11,7,4,93,1,2,58,37,68,8,sudo
parse_env_list,0,parse_args.c,2,24,0,13,21,71,4,4,1,8,1,0,3,2,5,0,sudo
usage,0,parse_args.c,1,28,0,11,27,72,3,3,0,10,31,2,4,2,8,0,sudo
usage_err,0,parse_args.c,1,2,0,6,3,12,0,0,1,1,0,0,0,0,0,0,sudo
usage_excl,0,parse_args.c,1,7,0,9,10,31,1,0,0,3,6,0,0,0,0,0,sudo
usage_out,0,parse_args.c,1,2,0,6,3,12,0,0,1,1,0,0,0,0,0,0,sudo
get_net_ifs,0,net_ifs.c,1,93,12,6,9,202,7,11,1,1,1,4,0,15,40,0,sudo
free_plugin_info,0,load_plugins.c,1,11,0,11,11,30,0,5,0,5,5,4,2,0,3,0,sudo
sudo_check_plugin,0,load_plugins.c,3,51,0,8,12,121,2,5,1,2,1,6,0,0,6,0,sudo
sudo_load_plugin,0,load_plugins.c,3,141,0,17,102,260,3,22,0,49,4,4,16,14,27,0,sudo
sudo_load_plugins,0,load_plugins.c,2,96,2,15,92,153,2,28,0,38,1,2,14,6,21,0,sudo
sudo_stat_plugin,0,load_plugins.c,4,69,0,17,55,156,2,5,1,29,1,8,9,12,16,0,sudo
deregister_hook,0,hooks.c,1,26,0,12,31,49,2,2,0,6,5,0,2,6,7,0,sudo
deregister_hook_internal,0,hooks.c,3,14,2,11,29,43,1,5,2,3,4,2,2,4,6,0,sudo
process_hooks_getenv,0,hooks.c,2,16,0,9,22,43,2,3,2,1,1,3,2,3,6,1,sudo
process_hooks_putenv,0,hooks.c,1,10,0,9,18,28,1,2,1,1,1,2,1,3,4,0,sudo
process_hooks_setenv,0,hooks.c,3,10,0,9,20,30,1,2,2,1,1,2,1,3,4,0,sudo
